com.samsung.health.sleep_stage,6196009,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-22 02:40:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.632,2021-11-22 09:46:56.632,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 02:42:00.000,910b420b-2fda-4bf0-9808-93b3e4781a8e,
2021-11-22 03:20:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.633,2021-11-22 09:46:56.633,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 03:21:00.000,14448080-c301-4aeb-9e6d-4e691b60d056,
2021-11-22 04:21:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.633,2021-11-22 09:46:56.633,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 05:15:00.000,b450db83-f721-4088-8294-603ee60314a9,
2021-11-22 06:34:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.634,2021-11-22 09:46:56.634,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 07:16:00.000,faf8c072-efef-4d99-be72-5039cb23bcf7,
2021-11-16 08:14:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.848,2021-11-16 09:05:42.848,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 08:15:00.000,2d0550c7-ed0b-49fe-b29b-9307c3fb5516,
2021-11-22 07:39:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.635,2021-11-22 09:46:56.635,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 07:40:00.000,d8920198-a04b-4ee7-8bf3-dacff09011fe,
2021-11-22 07:50:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.636,2021-11-22 09:46:56.636,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 07:55:00.000,ab5e4042-1c46-49da-9cdd-09f0828ccc79,
2021-11-16 09:00:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.851,2021-11-16 09:05:42.851,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 09:04:00.000,31b258eb-8890-4326-ae3f-a9d5ef1c5eef,
2021-11-22 08:25:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.636,2021-11-22 09:46:56.636,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 08:27:00.000,c738c552-7e5c-4002-a9d9-99a5fe965888,
2021-11-18 00:23:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.532,2021-11-18 08:46:01.532,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 00:28:00.000,821a8d1c-2fed-433e-9183-4e450588befe,
